"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"79937",42.5141219214558,-1.32126655208241,0.383775918829954,-3.4428073447408,0.00057570927955046,0.682869283473565,"CNTNAP3"
"9719",32.2153540472682,0.682272301756734,0.201536179033939,3.38535892179357,0.00071085239272162,0.682869283473565,"ADAMTSL2"
"79412",17.2752806512655,1.34892977282875,0.401953923774884,3.35593134695762,0.000790982013686505,0.68497939379022,"KREMEN2"
"7263",815.661302240315,0.395436083873102,0.118137549189127,3.34725145889092,0.000816171387128682,0.68497939379022,"TST"
"116362",24.1109883134355,0.847944603232201,0.262212436939906,3.23380772143365,0.00122151663958418,0.691830444010591,"RBP7"
"5629",73.8171194556177,-0.74678570192359,0.231035697191081,-3.23233903246541,0.00122781288311154,0.691830444010591,"PROX1"
"728640",66.4173258889792,-0.500591835822211,0.15354357963414,-3.26025898976049,0.00111310522151953,0.691830444010591,"FAM133CP"
"55068",70.4466077293996,-1.04322382167076,0.31931404111592,-3.26707782102209,0.00108663805455444,0.691830444010591,"ENOX1"
"2954",328.922167936018,0.457468273188472,0.138172727528333,3.31084347375764,0.000930152219831368,0.691830444010591,"GSTZ1"
"5990",211.840450041661,-0.47742972610804,0.147219244031677,-3.24298449736171,0.00118284647074914,0.691830444010591,"RFX2"
"113230",80.1640966705499,0.634853139163974,0.193640258065067,3.27851834896155,0.00104353579735139,0.691830444010591,"MISP3"
"90332",115.158685534526,0.449866119884085,0.137596501722468,3.26945899243475,0.00107753354741297,0.691830444010591,"EXOC3L2"
"645784",33.3435534594087,-1.03785106736922,0.317616528475218,-3.26762298030153,0.00108454735765597,0.691830444010591,"ANKRD36BP2"
"81578",358.719011264224,-0.650841154964545,0.195617688326638,-3.3271078936266,0.000877523897979966,0.691830444010591,"COL21A1"
"85477",326.545710261567,-0.914679336413757,0.27581890793634,-3.31623144786313,0.000912402314225035,0.691830444010591,"SCIN"
"100507358",23.4982832661449,-2.06426431775847,0.629467891124,-3.27937984902207,0.00104035500453757,0.691830444010591,NA
"5168",863.727665342916,-0.430475098612543,0.133405606346025,-3.22681415274247,0.00125176735235809,0.691830444010591,"ENPP2"
"203429",4.84344295562752,-1.4347212908125,0.442555692461015,-3.24189998061969,0.00118735685813495,0.691830444010591,"FAM226A"
"5803",22.4261428455152,-1.6073683658397,0.499243266571242,-3.21960950395778,0.00128365323845696,0.692561485319872,"PTPRZ1"
"10308",351.876675361356,-0.193490745508102,0.0603163902306479,-3.20792979765864,0.00133694128798725,0.704536967111422,"ZNF267"
"127731",7.97014927730081,-1.54233533440634,0.485528049958813,-3.17661427498818,0.00149005072567569,0.705449971146589,"VWA5B1"
"339483",299.193569465056,-0.290355915919541,0.0922110897302154,-3.14881774815853,0.0016393239763191,0.705449971146589,"MTMR9LP"
"100286988",50.971651809207,0.623794492793904,0.199870683178199,3.12099044679678,0.00180243881315824,0.705449971146589,NA
"57685",754.349696250232,-0.513716391833117,0.163981662582206,-3.13276730912266,0.0017316666549778,0.705449971146589,"CACHD1"
"26289",45.1392429535784,-0.595351471517614,0.191703544217924,-3.10558406182012,0.0018990363420853,0.705449971146589,"AK5"
"2947",341.833550457197,-0.593839110596013,0.190614485660323,-3.1153934001335,0.00183699732745013,0.705449971146589,"GSTM3"
"477",59.1643683320226,-2.07701986630522,0.649794169117797,-3.19642736887762,0.00139140852210158,0.705449971146589,"ATP1A2"
"148641",64.1584845916935,-1.39647094329407,0.448929054096078,-3.11067178778587,0.00186662285403102,0.705449971146589,"SLC35F3"
"5592",327.227054614588,-0.41574603028421,0.130177562098013,-3.19368425390535,0.00140469663834587,0.705449971146589,"PRKG1"
"80114",364.000438407699,-0.443432650267821,0.143106735067632,-3.09861482101632,0.00194427614072873,0.705449971146589,"BICC1"
"3043",464.905506390778,-0.909582672414427,0.290770902058444,-3.12817639583346,0.00175894583085164,0.705449971146589,"HBB"
"27198",20.924134074955,-0.833459262820359,0.269151067319025,-3.09662254406912,0.00195738938556758,0.705449971146589,"HCAR1"
"5101",83.951959433924,-0.70803684772568,0.229379391187132,-3.08675005222265,0.00202357670452464,0.705449971146589,"PCDH9"
"1139",52.9729736238388,-0.937823648169865,0.303143405808025,-3.09366336262572,0.00197701675117117,0.705449971146589,"CHRNA7"
"100129831",3.22064182154703,-1.79632732107818,0.577347566392817,-3.11134475252294,0.00186237371868483,0.705449971146589,NA
"386597",92.822775017647,-0.591730972154355,0.18943339104713,-3.1236888538153,0.00178599209849858,0.705449971146589,"GRASLND"
"200772",14.8952346196064,-1.07999691347464,0.339142640025191,-3.18449167404729,0.00145008482270822,0.705449971146589,"UICLM"
"64699",30.7390186320761,-0.939007529454063,0.302849298906191,-3.10057686395677,0.00193144077433249,0.705449971146589,"TMPRSS3"
"84700",41.4337017509413,-1.34427650906726,0.434231134968717,-3.09576260385866,0.00196307459262639,0.705449971146589,"MYO18B"
"100507436",100.319046728722,0.894850356011684,0.284469814831541,3.145677711154,0.00165702492141905,0.705449971146589,"MICA"
"55937",9.54990526896098,0.944016376361642,0.305822862576018,3.0868077304946,0.00202318412367643,0.705449971146589,"APOM"
"100133034",43.3282999706657,0.583716486310177,0.184308909854241,3.16705517260019,0.00153991099577473,0.705449971146589,NA
"5602",465.752956241079,-0.5547005208938,0.180056829659724,-3.08069692186676,0.0020651674300167,0.709040817639067,"MAPK10"
"3294",919.257400849068,0.744672505299943,0.243862500895043,3.0536572969062,0.00226070170910201,0.711493065670161,"HSD17B2"
"3579",11.4727217775307,-1.3246943020667,0.43330976972594,-3.05715309143513,0.00223450121149333,0.711493065670161,"CXCR2"
"8224",13.9642343883251,0.941255712639238,0.307530113752115,3.06069445087884,0.00220824318662736,0.711493065670161,"SYN3"
"4357",1095.16118664177,0.319585710490098,0.104587155797347,3.05568793848207,0.00224544827373858,0.711493065670161,"MPST"
"55351",37.4552062029687,-0.718873529679538,0.23518383066038,-3.0566452109441,0.00223829035002456,0.711493065670161,"STK32B"
"26267",687.019855902185,0.316780744225481,0.103486996555153,3.06106810295392,0.00220548923541689,0.711493065670161,"FBXO10"
"268",63.2801207197229,0.723742404075349,0.238021971253965,3.04065376932422,0.00236065115825713,0.71323140328142,"AMH"
"2043",378.587415821629,-0.868451022901141,0.285345753058423,-3.04350428766792,0.00233840108800929,0.71323140328142,"EPHA4"
"644704",34.4616736578007,0.761580058429873,0.250278891707345,3.04292564680365,0.00234290214434436,0.71323140328142,NA
"56667",237.001976764306,-0.988962446761873,0.326128552266995,-3.03243135226083,0.00242592268700848,0.715873457753806,"MUC13"
"404744",1.48676984307453,-2.64855029971251,0.873646477041011,-3.03160416634769,0.00243257971081391,0.715873457753806,"NPSR1-AS1"
"6262",612.786882198227,-0.629231062170974,0.211379693504157,-2.97678103198971,0.0029129197429998,0.71634726466644,"RYR2"
"9404",217.779761980535,-0.265719401759168,0.0882858362357035,-3.00976252917576,0.00261452018665945,0.71634726466644,"LPXN"
"80310",90.2857370148282,-1.19429777491702,0.399813029343418,-2.98714070644052,0.00281600082640609,0.71634726466644,"PDGFD"
"1734",2660.86097215145,-0.966631241740269,0.324096754873556,-2.98253909428187,0.00285868136307149,0.71634726466644,"DIO2"
"26083",1.9739898094152,2.23764503607886,0.745281327367684,3.00241660955357,0.00267845344827829,0.71634726466644,"TBC1D29P"
"5731",18.7312367202975,0.802094243614489,0.268781242802314,2.98418980153471,0.00284330337804442,0.71634726466644,"PTGER1"
"147660",169.087433950119,0.485662678074112,0.163305972440671,2.97394314987808,0.00293999539337948,0.71634726466644,"ZNF578"
"91543",54.8913367740465,-1.12329011539322,0.373426565112339,-3.00806161194049,0.00262919828727137,0.71634726466644,"RSAD2"
"5610",1051.93532656388,-0.368126187982458,0.122553998604912,-3.00378765420147,0.00266641354612399,0.71634726466644,"EIF2AK2"
"8828",312.191737882752,-0.543194084194707,0.181834018135163,-2.98730726937429,0.00281446690372511,0.71634726466644,"NRP2"
"1144",4.39296663762578,1.49004676208859,0.496655844797781,3.00015952232532,0.00269838244402061,0.71634726466644,"CHRND"
"23544",140.35843236619,-2.41320276574374,0.809996696597568,-2.97927482405856,0.00288931505664952,0.71634726466644,"SEZ6L"
"7325",311.079974990394,-0.218157832122122,0.07327740363027,-2.97715013516122,0.00290941498017109,0.71634726466644,"UBE2E2"
"11148",5.04329514120754,-1.80778998863182,0.602630055483313,-2.99983376564576,0.00270126988163944,0.71634726466644,"HHLA2"
"590",23.0645547745434,-1.45415119964767,0.484396303839956,-3.00198657198698,0.00268224006934499,0.71634726466644,"BCHE"
