gene	log2FC	                          p	               padj	        n
SRSF5	0.6792630930286	0.00331279281330437	0.161765107467596	9
TLX1	-0.789097968732091	0.00332796495541795	0.161765107467596	9
FOXN3	-0.736241695500349	0.00334017742353255	0.161765107467596	9
RPA3	0.623812815884608	0.00335124483293327	0.161765107467596	9
KIRREL	1.81026439506637	0.00335137194043594	0.161765107467596	9
LINC00342	2.39798499956279	0.00335983370489464	0.161765107467596	9
FGF13	1.75141508842513	0.00336957444487759	0.161765107467596	9
CASKIN2	-1.64240567767007	0.00339608725072084	0.161765107467596	9
FSCN1	-0.889496596799523	0.00340196209683594	0.161765107467596	9
RP11-395B7.7	1.31130690601201	0.00340590148776615	0.161765107467596	9
VPS41	0.856001102297349	0.00341394821537939	0.161765107467596	9
TGFB1I1	-1.01972183843415	0.00342187929291018	0.161765107467596	9
SSBP1	0.633853588503976	0.00343125081295312	0.161765107467596	9
RP1-149A16.17	-0.869337612579272	0.00343326480038469	0.161765107467596	9
SPN	-1.51966283834249	0.00343591153480061	0.161765107467596	9
SLC1A4	-1.28442360586572	0.00343779962389179	0.161765107467596	9
WDR60	2.3084918181472	0.00344992762896191	0.161765107467596	9
HOXA6	-1.90162431942183	0.00345296325870065	0.161765107467596	9
ARHGEF16	-0.862021338236668	0.00346519189866363	0.161765107467596	9
LYZL6	-0.875157224519247	0.00347993870950455	0.161765107467596	9
ZNF3	-1.74890805346745	0.00350279334717698	0.161765107467596	9
SLC7A5	-1.46995747955151	0.00351239568220438	0.161765107467596	9
SYP	-0.815370707739754	0.00351681989344863	0.161765107467596	9
RAP1GDS1	-0.641111268485863	0.00351878089028787	0.161765107467596	9
MPV17	0.972155426543045	0.00354829878654256	0.161765107467596	9
FCGR1A	-1.55145295349735	0.00355838298118345	0.161765107467596	9
CEBPG	-1.0570048276522	0.00355909879310075	0.161765107467596	9
PNRC2	0.996460820950727	0.00356642792720571	0.161765107467596	9
HPN	1.05936567128851	0.00357448149363873	0.161765107467596	9
OR12D2	-0.974334494182023	0.00358065849422118	0.161765107467596	9
POMP	0.919851014174772	0.00360048641056054	0.161863248829044	9
HAUS2	0.743220742108693	0.00361250126315045	0.161863248829044	9
PLA2G2D	-1.04518407845969	0.00361951512075221	0.161863248829044	9
MAPK1	-0.684578195405328	0.00366875790149253	0.162692205218425	9
H2AFB1	1.40570416408805	0.00369411843350045	0.162692205218425	9
G6PD	-0.883710308100615	0.00369828483184593	0.162692205218425	9
LOC729966	0.796129148220077	0.00372669324607873	0.162692205218425	9
CORO2A	-1.00231460436878	0.0037289505593957	0.162692205218425	9
CAMK1G	-1.08815681517608	0.00374026429875008	0.162692205218425	9
IGFALS	-1.2579437821785	0.00376317107960338	0.162692205218425	9
TM2D3	0.673087517206022	0.00377448667502231	0.162692205218425	9
WHAMMP2	1.08460504425153	0.00378577419881426	0.162692205218425	9
METTL7A	1.46870439751957	0.00378600607324271	0.162692205218425	9
RAPGEF4	2.12741117444981	0.00379596059997504	0.162692205218425	9
GTF2H5	1.19773537774844	0.00380556728231559	0.162692205218425	9
HAX1	-0.788544500504333	0.0038070953079883	0.162692205218425	9
CAPN1	-0.698334459117942	0.00381012190207083	0.162692205218425	9
PAPOLG	0.944192769819566	0.00389205862666504	0.163835774809629	9
HP	1.53668981133205	0.0038993919113258	0.163835774809629	9
NAG18	2.14822899803977	0.00391140220073957	0.163835774809629	9
KRT31	0.709767462349011	0.00393080607231749	0.163835774809629	9
TMSB4X	0.678624292926006	0.00393125164229313	0.163835774809629	9
DDO	1.44914175624542	0.00393573340992073	0.163835774809629	9
PKI55	2.07912547065363	0.00394478152710409	0.163835774809629	9
SS18L2	0.905108950458643	0.00396341611735137	0.163835774809629	9
NACA	0.654686651779132	0.00397186767773914	0.163835774809629	9
ASRGL1	-1.51199113995848	0.00397223277890815	0.163835774809629	9
SCAND2P	-1.72932142853325	0.00397305157617973	0.163835774809629	9
MEOX2	1.97077430057224	0.00401037280913868	0.164064188272636	9
RPL11	0.782299712640066	0.00401146861377022	0.164064188272636	9
RPAP2	2.07107307422581	0.00401577374029872	0.164064188272636	9
TEAD4	-1.44533775793853	0.00404661708776635	0.164815601202348	9
ODC1	-1.02426759817532	0.00407272433823989	0.165194042478466	9
TM2D1	1.18938582186883	0.00408086816427123	0.165194042478466	9
PLXNB1	-0.795029601055995	0.00409988983675082	0.165458054173996	9
SAMD4B	-0.989133121697017	0.00411372858519075	0.165511930948845	9
MYO1C	-0.918912138895677	0.00416289715183349	0.165832084759667	9
IL22	-0.91946345347998	0.0041644452834265	0.165832084759667	9
CHAC1	-1.43613520120446	0.00416717750809796	0.165832084759667	9
CERS2	-0.620257612592121	0.00418318795400772	0.165832084759667	9
PIP5K1C	-0.668792520085487	0.00419364661092196	0.165832084759667	9
FZR1	-0.862315386867443	0.00420535417919443	0.165832084759667	9
TNKS2	1.01512696954448	0.00420938131595137	0.165832084759667	9
CAV3	-1.17951838034187	0.0042432287448972	0.16602542226804	9
IBSP	1.33088785829411	0.00424334316586003	0.16602542226804	9
PPP4C	-1.16170946959308	0.00425191645757088	0.16602542226804	9
DYRK1B	-1.06879782042911	0.00438740881915676	0.170812148644641	9
EI24	-0.767463524237574	0.00440590891474262	0.171029373326827	9
RHOD	-0.783052805903215	0.00444837384245393	0.172172878808663	9
LOC202181	2.14007463947857	0.00446323446179184	0.17224441565813	9
RP13-258O15.1	0.784534203284727	0.00452679339458069	0.17418943070949	9
ATP8B1	1.16369748815102	0.00458732544650397	0.175835854652894	9
RAB28	1.07560077507983	0.00459788401709501	0.175835854652894	9
CHMP4A	0.832502827345982	0.00461551360764303	0.175835854652894	9
XRCC2	1.69555785546626	0.00463726702714825	0.175835854652894	9
TTBK2	1.04551474819299	0.00464439291776647	0.175835854652894	9
SMUG1	-0.689203393497833	0.00466011823897342	0.175835854652894	9
PTPN14	-0.952085443636961	0.00466256591245492	0.175835854652894	9
PAGE4	-1.43149495034663	0.00467884328819052	0.175948433539142	9
S1PR2	0.891615648979504	0.00470790454914291	0.175996919173783	9
ELAVL1	-0.73264317006644	0.00471057098781608	0.175996919173783	9
GPR176	-1.36581481721877	0.00472002011835711	0.175996919173783	9
PRKAA2	1.66048391641503	0.00475381522327254	0.176267363406484	9
CARS	-0.655732357230442	0.00475390562333721	0.176267363406484	9
LOC100293211	1.09156640859979	0.00477132883621596	0.176419217332376	9
DTX2P1-UPK3BP1-PMS2P11	-0.660650726154687	0.00480317276961106	0.177101944154155	9
SETD4	-1.36637586198674	0.00489340578147951	0.179564091750663	9
PRRC2C	0.839921156041156	0.00490638118513142	0.179564091750663	9
TBC1D10B	-0.671390125823351	0.00491841480173441	0.179564091750663	9
NDUFB7	0.751786858865273	0.00492420981381662	0.179564091750663	9
ADARB1	1.17956895716297	0.00497577079048374	0.180752720186143	9
THBS1	-1.30961410688584	0.00498411595285505	0.180752720186143	9
PSMA2	1.14498469011502	0.00501542761680532	0.181391298807792	9
TRIP10	-0.715117408131225	0.00503421428781916	0.181418705228026	9
PRCP	0.63702092991861	0.00505665896693048	0.181418705228026	9
SELT	1.05429705406033	0.00505958242492378	0.181418705228026	9
BANF1	0.956825590306975	0.0050891359157853	0.181418705228026	9
GABRB3	-1.72259526458172	0.00509495979611182	0.181418705228026	9
BSG	-1.14125729393667	0.0050984179455183	0.181418705228026	9
ZNF467	-0.666238426038744	0.00521712539624534	0.185145010375602	9
COA7	0.819039868523425	0.00525179002707325	0.185420314139554	9
HNRNPA1	0.674629606385194	0.00525289852703276	0.185420314139554	9
TBC1D22A	-0.668549919512229	0.0052968774113516	0.186475442271439	9
TMEM8A	-1.40658452603134	0.00534616775234901	0.187397253132619	9
TOR1AIP2	0.696503257155325	0.00538044052732046	0.187397253132619	9
TET3	1.7434925571916	0.00538779970337362	0.187397253132619	9
PAX6	1.02677775793147	0.00540025578454085	0.187397253132619	9
SGSM3	-0.668871535305164	0.00540593370194672	0.187397253132619	9
SEC61G	0.813922928720295	0.00540800413210398	0.187397253132619	9
SCAF4	-0.871000110406747	0.00545033102842079	0.188160552541718	9
KPNB1	0.672337227119375	0.00547937353480252	0.188160552541718	9
LXN	1.80227522116534	0.00550707558123466	0.188160552541718	9
ST20	-0.671066900211798	0.00550738081543904	0.188160552541718	9
ARL6IP1	0.971644691150139	0.00550830737965763	0.188160552541718	9
LAMTOR2	0.599045594924116	0.00551532026789957	0.188160552541718	9
NDUFS1	0.673718365570369	0.00554640963787282	0.188734767034762	9
THEM6	-1.01357306156972	0.00560578755713231	0.19026617921477	9
MZT2B	1.62397200488933	0.00565978562587066	0.19160762744156	9
ATF3	-0.8449681525253	0.00572175571240106	0.191943380098285	9
CHFR	-0.696553302213101	0.00573322160225045	0.191943380098285	9
PLAGL1	0.777880995151415	0.0057511763213984	0.191943380098285	9
CCIN	-1.13046409864468	0.00575323181682695	0.191943380098285	9
RAB13	0.747352706459578	0.00579646079715687	0.191943380098285	9
LOC57399	1.5798873821592	0.00582083736982822	0.191943380098285	9
CDC42EP1	-0.828419507675856	0.00583502270811356	0.191943380098285	9
NDUFB3	0.668038492459889	0.00585270842332388	0.191943380098285	9
PVR	-0.659014324815744	0.00588614353205511	0.191943380098285	9
CLSPN	1.47705598792595	0.00591611306609007	0.191943380098285	9
COL9A3	-1.43697793118326	0.00592603378103756	0.191943380098285	9
IL13	-1.77752029376052	0.00592681601601746	0.191943380098285	9
PTPRT	-1.17499854993174	0.00592981034748113	0.191943380098285	9
PRORY	1.20885520954768	0.00594146874282472	0.191943380098285	9
OR7E156P	-1.14272766704689	0.00594317889377704	0.191943380098285	9
