gene	log2FC	                         p	               padj	        n
INSC	1.48073121754862	0.000558428035462561	0.172050582769083	8
C10orf54 0.90958346562157	0.000584050746006321	0.178197851883443	8
CD14	0.673061423309506	0.000601570246560213	0.180259149991265	8
PFKFB3	1.41389691783238	0.000611224901978947	0.180259149991265	8
IL13RA1	0.977571087452026	0.000615409390202624	0.180259149991265	8
BCL10	1.09380870864951	0.000618297729952072	0.180259149991265	8
MKNK1	0.961830371954312	0.000619486673425082	0.180259149991265	8
TGFA	1.73830331975733	0.000643130726568653	0.184180569416502	8
DYSF	1.09280742761474	0.000644684739891021	0.184180569416502	8
C5AR1	1.17793063005632	0.000652540101511979	0.184745272343382	8
KLHL2	1.65602292029222	0.000671720773219174	0.188477651957016	8
IFRD1	1.28699002474383	0.000691934028464171	0.191273407927934	8
FOLR3	1.30065407777784	0.000693857586195651	0.191273407927934	8
MEGF9	1.69424952707314	0.000715091663355071	0.194118949864458	8
AQP9	1.0003380710281 	0.000726042142130393	0.194118949864458	8
FAM113B	-0.868337828670767	0.000734486456988962	0.194118949864458	8
GIMAP5	-1.09613643973731	0.000744111196207018	0.194118949864458	8
C5orf35	0.993464536680077	0.000748932786640709	0.194118949864458	8
CSTA	0.824569393107041	0.000752195707334329	0.194118949864458	8
PTGS2	2.07050523927446	0.000759378316745189	0.194118949864458	8
LOC730167 0.948536588361426	0.000760258842078795	0.194118949864458	8
TLR1	1.53975672246975	0.000762357961763054	0.194118949864458	8
TMEM119	1.17055020793929	0.000765950161751186	0.194118949864458	8
MTHFS	0.974904649994091	0.00077682231813296	0.195299345357171	8
ANKRD34B 1.14646734461937	0.000795212123186582	0.195516395319313	8
TMEM55A	1.01734618058688	0.000803971488310449	0.195516395319313	8
ZNF788	0.940117454989472	0.000809426867257165	0.195516395319313	8
FAM129A	1.29467529702772	0.000809931193106354	0.195516395319313	8
CARD16	1.02035667879845	0.000811426125520648	0.195516395319313	8
IL1B	1.46824533781768	0.000819679146083662	0.195516395319313	8
HOXA5	1.5177295978856 	0.000821236052381765	0.195516395319313	8
LIMK2	1.06732758357875	0.000838810777947093	0.197991453541552	8
ID3	-1.06830953463897	0.000849341459688689	0.197991453541552	8
HNRNPL	-1.45598727777434	0.000859107088959576	0.197991453541552	8
LOC440731 1.01982797141442	0.000859994962523909	0.197991453541552	8
HEBP2	0.834572310467703	0.000863133365213285	0.197991453541552	8
RELL1	0.926734705360774	0.000877205217027426	0.199761240219593	8
LMTK2	0.873785754996364	0.000916882180351015	0.205951022079121	8
EGR1	3.37608848439371	0.000924776342930377	0.205951022079121	8
LOC728178 -1.12630389834116	0.000924789462907347	0.205951022079121	8
LPCAT2	2.29792794659377	0.000935912048366155	0.205951022079121	8
YIPF4	0.883405022528086	0.000937153826682185	0.205951022079121	8
PHC2	1.32474387802337	0.000949105519846157	0.207129097685315	8
SIGLEC9	0.786145193415474	0.000956023814164273	0.207200030233976	8
HSPA1A	1.02854130796013	0.000992448015527278	0.209999032795044	8
CARHSP1	0.893992183702542	0.000993682585370403	0.209999032795044	8
SDC2	0.786458444378249	0.00101514132994532	0.209999032795044	8
CD27	-1.05397247186507	0.00102270331346316	0.209999032795044	8
C12orf35 1.23773678381471	0.00102429400792148	0.209999032795044	8
DGAT2	0.932944103751702	0.00103086123857265	0.209999032795044	8
HSPA6	1.28014225547969	0.00103225692780364	0.209999032795044	8
DOCK5	1.16062341512157	0.00103571006277663	0.209999032795044	8
PINK1	1.07416679273835	0.00105474570034135	0.209999032795044	8
LOC391769 0.830695086530328	0.00105725141671902	0.209999032795044	8
BCL2A1	1.30681773797456	0.00106443794950145	0.209999032795044	8
PADI4	0.887320593994167	0.00106463994702929	0.209999032795044	8
BTNL8	1.53793487887108	0.00107150393352716	0.209999032795044	8
RASGRP4	1.09356755252719	0.0010772281810433	0.209999032795044	8
FTH1	1.06345515086238	0.00107815854264696	0.209999032795044	8
SMARCD3	1.08551848940439	0.00107908534110748	0.209999032795044	8
CLCC1	1.10943712362369	0.00108532554657091	0.209999032795044	8
CD177	1.7779679246798 	0.00110059563725357	0.209999032795044	8
TBXAS1	1.02096151733174	0.00110521714930752	0.209999032795044	8
LOC730278 0.98549864897552	0.00111218221969251	0.209999032795044	8
ACTN1	0.779144851456922	0.00113752522345986	0.209999032795044	8
ITGAM	1.31240873106886	0.00113771216743779	0.209999032795044	8
PACSIN2	0.850993589070425	0.00114045958172437	0.209999032795044	8
RNASE6	1.33893070180593	0.00116105968264049	0.209999032795044	8
MX2	0.833323460769328	0.00117151239024031	0.209999032795044	8
THOC5	0.893974600977032	0.00117298341964661	0.209999032795044	8
ORAI2	0.829696019311055	0.00117961257080639	0.209999032795044	8
RRAGD	1.09439552082324	0.00118816713159817	0.209999032795044	8
APAF1	0.871307056284375	0.00120782564607415	0.209999032795044	8
HIST1H2AC	1.05261446874592	0.00121069783047057	0.209999032795044	8
KCNE3	0.777990477029985	0.0012140574433989	0.209999032795044	8
IFIT3	1.41541142333152	0.00121719213596411	0.209999032795044	8
MTFMT	1.23408338718537	0.00121822349075557	0.209999032795044	8
C6orf150	1.1461287359611	0.00122485028554143	0.209999032795044	8
ST3GAL4	1.0288702920187	0.00122541156743117	0.209999032795044	8
ABCA1	1.62557937952949	0.0012301011905728	0.209999032795044	8
VPS24	0.769503660784528	0.00124147206608736	0.209999032795044	8
LDLRAD3	0.7695423998665	0.00124591903017038	0.209999032795044	8
RPH3A	1.48786848031704	0.00124606335214805	0.209999032795044	8
KCNJ15	1.61036765839043	0.00125453221319449	0.209999032795044	8
GBA	0.859538464193929	0.00125618267342663	0.209999032795044	8
BAZ2B	0.87274562017456	0.00125880277999998	0.209999032795044	8
RNF130	0.913778824363222	0.00126517608638873	0.209999032795044	8
