gene	log2FC	p	padj	n
TMEM128	-0.66664275	0.000857821364276995	0.3924105230115	8
PID1	-1.1791415	0.000872101952213443	0.3924105230115	8
RNVU1-6	0.56691675	0.000920494599894753	0.394853336312517	8
MTUS1	-0.780584499999999	0.00092266781090325	0.394853336312517	8
NKIRAS1	-0.53562925	0.000925833428590968	0.394853336312517	8
TPM1	1.01326875	0.000946164860563557	0.394853336312517	8
PLCL2	-0.6393855	0.000968004787109267	0.394853336312517	8
KRTAP20-4	0.614014	0.000971001688448902	0.394853336312517	8
MARCHF4	0.689493500000002	0.00103664523857943	0.394853336312517	8
ACTR6	-0.460671999999998	0.00106797413002446	0.394853336312517	8
LRRC17	2.05955875	0.00108548097853787	0.394853336312517	8
IMMP1L	-0.893454	0.0010882899158811	0.394853336312517	8
POU2F2	0.61375875	0.00111486343776343	0.394853336312517	8
SLC40A1	-1.4206505	0.001116748358477	0.394853336312517	8
A4GALT	0.453754499999999	0.00112496273990933	0.394853336312517	8
CEPT1	-0.456314499999999	0.00112925614910379	0.394853336312517	8
SULF1	1.30796575	0.00113405607160532	0.394853336312517	8
FRMD4A	0.56692475	0.00117365970153761	0.402879866825751	8
OLFML2A	-0.833476499999999	0.0012232975707061	0.409399897456347	8
TSPAN31	-0.474435999999999	0.00122953989085007	0.409399897456347	8
CNOT6L	-0.423298999999999	0.00130826042500388	0.420758327116947	8
ALDH9A1	-0.594824749999999	0.00133035384930193	0.420758327116947	8
ZC3H12C	-0.553965249999999	0.00133805707872742	0.420758327116947	8
SCPEP1	-0.673984499999999	0.0013946536155047	0.420758327116947	8
TGFBR2	-0.541953249999999	0.00140117763582353	0.420758327116947	8
PROM1	1.1829055	0.00140206921230238	0.420758327116947	8
CAP2	0.544181750000001	0.00141702489331162	0.420758327116947	8
ARHGAP28	-1.35029225	0.00142250859229661	0.420758327116947	8
LOC441081	0.44231775	0.00149388452243628	0.420758327116947	8
DTX3L	-0.596006249999999	0.00151859020737983	0.420758327116947	8
GBA1	-0.58196875	0.00154546161534365	0.420758327116947	8
JCHAIN	-2.0348405	0.00154588391508413	0.420758327116947	8
NAA20	-0.55506475	0.00154906773117284	0.420758327116947	8
ARSK	-0.544253250000001	0.00158278527466052	0.420758327116947	8
RASSF8	-0.401965249999999	0.0015852957340506	0.420758327116947	8
RNF182	1.000281	0.00160140424268401	0.420758327116947	8
CENPW	-1.00639125	0.00163628717036647	0.420758327116947	8
SLC46A1	-0.397674249999999	0.00164744134450154	0.420758327116947	8
SESN3	-1.1616875	0.00167083966672256	0.420758327116947	8
SDK1	-0.6974805	0.00167893830025045	0.420758327116947	8
LGALS3	-0.575049	0.00172584507151247	0.420758327116947	8
PDE7B	-1.1633615	0.00174776982440082	0.420758327116947	8
ATL2	-0.62007275	0.00177052438599508	0.420758327116947	8
SALL4	0.718593	0.00177779143067552	0.420758327116947	8
ABHD12	-0.568531	0.00179293405203288	0.420758327116947	8
JADE1	0.40438925	0.00180021051439668	0.420758327116947	8
PMP22	-0.871691749999999	0.0018061503002862	0.420758327116947	8
PPARGC1A	-1.776858	0.00180702287826902	0.420758327116947	8
LRRC42	-0.412187999999999	0.00187080530810415	0.423576898346304	8
SPRR2B	-0.5785695	0.0018851116448901	0.423576898346304	8
PRTG	-0.4708665	0.00189799634030019	0.423576898346304	8
MOXD1	-0.834975499999998	0.00190817595434861	0.423576898346304	8
TMEM14A	-0.552154749999999	0.00193720394380521	0.424362366558434	8
C4A	-1.0742235	0.00198104117778351	0.425565987720371	8
C4A	-1.0742235	0.00198104117778351	0.425565987720371	8
C4A	-1.0742235	0.00198104117778351	0.425565987720371	8
CABCOCO1	-1.11687575	0.00205211933975871	0.426214349729101	8
HSD17B7	-0.753010249999999	0.00207293856539545	0.426214349729101	8
MID2	-0.460950249999999	0.00207311227720683	0.426214349729101	8
CD9	-0.923922	0.00211217614618907	0.426214349729101	8
DNAJC21	-0.526028250000001	0.00212116084267954	0.426214349729101	8
GSDME	0.787642250000001	0.002122742837705	0.426214349729101	8
LRGUK	0.563696250000001	0.0021583857111121	0.426214349729101	8
HMGA2	0.75939425	0.00217264135643136	0.426214349729101	8
GUCY1A1	-1.89223425	0.0021726586449382	0.426214349729101	8
EPHX1	-0.539805749999999	0.00218022641124672	0.426214349729101	8
RNF146	-0.38944075	0.00218954025888156	0.426214349729101	8
LY6E	-0.485324499999999	0.00220028639900812	0.426214349729101	8
TMEM255B	-0.721615249999999	0.0022223289600307	0.426214349729101	8
