"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-10401-3p",11.9088747753643,0.690909649607349,0.904226635815181,0.764089026181449,0.4448141914173,0.82735786484053
"hsa-miR-105-5p",0.283532597820404,1.73837407048137,3.04156032620875,0.571540224108664,0.567633502050938,NA
"hsa-miR-10527-5p",7.79338443449348,0.59879330114622,1.07927258457857,0.554811925830614,0.579023309054965,0.878457438532382
"hsa-miR-106a-3p",0.670398837499322,-0.576711097245952,3.01246933230573,-0.191441317281242,0.848179852120776,NA
"hsa-miR-106a-5p",184.348949433644,-0.305082041619442,0.321976859502995,-0.947527850574006,0.343369871445201,0.813771512885725
"hsa-miR-106b-3p",479.061835340933,1.14183017515207,0.385480552938033,2.96209540649804,0.00305553088834788,0.083909579010784
"hsa-miR-106b-5p",27.4848735090214,-0.302098726959562,0.643651445127725,-0.469351431192101,0.638818458570445,0.883537316520756
"hsa-miR-107",1993.45127040949,0.841535734615464,0.301855477847422,2.78787630629262,0.00530547967976247,0.0998416468492981
"hsa-miR-10a-3p",8.17244966642854,0.196012727228411,1.32922611490005,0.147463794933904,0.882765954730619,0.938846074356208
"hsa-miR-10a-5p",1013.89035561054,0.103742102462491,0.401715874961452,0.258247455300206,0.796215935634113,0.915671208649392
"hsa-miR-10b-3p",25.5181169440136,-0.221672096773807,0.705371711010265,-0.31426281110185,0.753321440852918,0.896452514614972
"hsa-miR-10b-5p",1013.60682301272,0.102962772872833,0.40165928839742,0.256343562434828,0.797685562716977,0.915671208649392
"hsa-miR-11400",0.101392063269841,0.710635837183768,3.06038250977364,0.232204907365102,0.816378866393369,NA
"hsa-miR-11401",0.690380909421252,2.90546884663808,3.00688433060028,0.966272236371012,0.333907974844262,NA
"hsa-miR-1179",2.29192330201375,-1.05850690351933,2.39973744988735,-0.441092796867846,0.659145818001535,NA
"hsa-miR-1180-3p",100.844884786001,1.23463098255204,0.468592640632635,2.63476391964926,0.00841958204739371,0.135574606683598
